Product Name,Category,Price,Quantity,Revenue,Date,Region,Customer Rating
Echo Dot,Smart Home,29.99,150,4498.50,2024-01-15,North America,4.5
Fire TV Stick,Electronics,39.99,200,7998.00,2024-01-16,Europe,4.3
Kindle Paperwhite,E-Readers,139.99,75,10499.25,2024-01-17,Asia,4.7
Ring Doorbell,Security,99.99,100,9999.00,2024-01-18,North America,4.2
Echo Show,Smart Home,84.99,50,4249.50,2024-01-19,Europe,4.4
Fire Tablet,Electronics,49.99,125,6248.75,2024-01-20,Asia,4.1
Alexa Voice Remote,Accessories,29.99,300,8997.00,2024-01-21,North America,4.0
Smart Plug,Smart Home,24.99,250,6247.50,2024-01-22,Europe,4.3
Kindle Oasis,E-Readers,249.99,30,7499.70,2024-01-23,Asia,4.8
Echo Studio,Audio,199.99,40,7999.60,2024-01-24,North America,4.6
Fire HD 10,Electronics,149.99,80,11999.20,2024-01-25,Europe,4.2
Ring Alarm,Security,199.99,60,11999.40,2024-01-26,Asia,4.4
Echo Buds,Audio,119.99,90,10799.10,2024-01-27,North America,4.1
Kindle Scribe,E-Readers,339.99,25,8499.75,2024-01-28,Europe,4.5
Fire TV Cube,Electronics,139.99,55,7699.45,2024-01-29,Asia,4.3
Smart Thermostat,Smart Home,129.99,70,9099.30,2024-01-30,North America,4.4
Echo Auto,Automotive,49.99,110,5498.90,2024-01-31,Europe,3.9
Ring Floodlight Cam,Security,249.99,45,11249.55,2024-02-01,Asia,4.5
Kindle Kids,E-Readers,109.99,65,7149.35,2024-02-02,North America,4.6
Fire TV Soundbar,Audio,119.99,85,10199.15,2024-02-03,Europe,4.2
